time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-05 00:00:00+00:00,0,0,7,1
2025-06-13 00:00:00+00:00,0,0,1,1
2025-06-14 00:00:00+00:00,5,5,0,0
2025-06-15 00:00:00+00:00,1,1,0,0
2025-06-16 00:00:00+00:00,1,1,0,0
2025-06-18 00:00:00+00:00,1,1,0,0
2025-06-19 00:00:00+00:00,1,1,0,0
2025-06-27 00:00:00+00:00,0,0,7,1
2025-07-04 00:00:00+00:00,1,1,0,0
2025-07-07 00:00:00+00:00,0,0,7,2
2025-07-11 00:00:00+00:00,0,0,5,1
2025-07-14 00:00:00+00:00,1,1,7,1
2025-07-21 00:00:00+00:00,1,1,0,0
2025-07-23 00:00:00+00:00,1,1,0,0
